pub_date,snippet
2001-12-22 05:00:00+00:00,"Ben Cooper, editor, Small Companies Selector..BSS Group PLC, a plumbing-products distributor, has been around in one form or another since 1899, yet a year ago, its future seemed uncertain. Its net profit dropped by 53 percent in the year ending M..."
2001-12-22 05:00:00+00:00,Kawasaki Steel Corp to buy rival NKK Corp for 314 billion yen ($2.5 billion) in stock (S)1
2001-12-22 05:00:00+00:00,University of
2001-12-22 05:00:00+00:00,C Michael Armstrong's performance as AT&T chairman assessed in light of his plan to sell company's cable television business to Comcast and join what will be renamed AT&T Comcast as chairman; he has failed to realize original plan of creating vast...
2001-12-22 05:00:00+00:00,World Business Briefing
2001-12-22 05:00:00+00:00,"With 2002 just around the corner, Money Report correspondents asked some of their favorite analysts and portfolio managers for investing ideas for the coming year.. ASIA/PACIFIC. Steven Milunovich and Zhen-Hong Fan, Merrill Lynch & Co.. Technology..."
2001-12-22 05:00:00+00:00,"AFTER A YEAR like 2001, analysts, economists and professional investors are expressing apprehension about what the next one may bring for the financial markets..If there is a unifying theme to their forecasts, it is that stocks will do well, based..."
2001-12-22 05:00:00+00:00,Bush administration's intense effort to find possible link between Iraq and anthrax attacks continues even after scientists determine that lethal germ is American strain; scientists and government officials say largely secret work has found no evi...
2001-12-22 05:00:00+00:00,"ACLN Ltd, Belgian company that trades on New York Stock Exchange, says its financial statements are accurate and that it has been unfairly attacked by short sellers; NYSE lifts trading halt on company's shares (M)"
2001-12-22 05:00:00+00:00,"Charles Carlson, portfolio manager, Greenspring Fund..Mr. Carlson, who sticks with a deep-value strategy no matter what style is in fashion, had a good 2001: his fund is up 8.3 percent, while most major stock-market averages have fallen..His pench..."
2001-12-22 05:00:00+00:00,Analysis of economic outlook; holds Main Street does not share Wall Street's optimism about solid rebound next year; cites lurking problems that could slow recovery; notes consumers apparently have not felt full impact of some supposedly positive ...
2001-12-22 05:00:00+00:00,"Analysis of economic crisis in Argentina, country whose economy was comparable to that of United States at turn of last century; says country's unfulfilled promise is rooted deep in its history of civil wars, military and guerrilla uprisings, and ..."
2001-12-22 05:00:00+00:00,"Former Enron Corp chief executive Jeffrey K Skilling denies wrongdoing, interview; says he was stunned by Enron's collapse in wake of his Aug resignation and by disclosure that Andrew S Fastow, his former right-hand man, made over $30 million from..."
2001-12-23 05:00:00+00:00,"Carole Gould column profiles Gene W Henssler, manager of Henssler Equity fund; photo; chart (M)"
2001-12-23 05:00:00+00:00,Jonathan Fuerbringer column says it is possible that stock market rally anticipated for 2002 has already happened and that selloff in bond market is also at an end; notes that housing market was not affected by recession and therefore cannot fuel ...
2001-12-23 05:00:00+00:00,"A Bond Man's Eye View, From Behind the Camera  James A. Lebenthal spent 38 years in the family business, Lebenthal & Company, selling tax-free municipal bonds. Now that he has passed the boss's seat to his daughter, Alexandra, Mr. Lebenthal, 73, i..."
2001-12-23 05:00:00+00:00,Gretchen Morgenson article says Enron Corp's collapse has raised new concerns about billions of dollars of debt that has been shunted off the books of American corprations; says it is hard to determine extent of such debt; says financial service b...
2001-12-23 05:00:00+00:00,"Article on movies this season that are centered around loss of memory, including The Majestic starring Jim Carrey, Memento starring Guy Pearce, Mulholland Drive starring Laura Harring and Naomi Watts and Vanilla Sky starring Tom Cruise; photo (M)"
2001-12-23 05:00:00+00:00,Summary of week's market developments (S)
2001-12-23 05:00:00+00:00,"Advertising by financial institutions make home equity loans alluring and home equity lines of credit seem like ideal way to supply cash to homeowners, but borrowers should be aware of certain hazards; table of do's and don't's; photo (M)"
2001-12-23 05:00:00+00:00,"Margy Rochlin profiles Swiss-born film director Marc Forster, whose latest project, Monster's Ball, starring Billy Bob Thornton and Halle Berry, may gain him recognition as one of Hollywood's hottest new talents; photo (M)"
