pub_date,snippet
2008-11-05 02:31:12+00:00,"Risk models used on Wall Street failed to keep pace with the growth in complex securities, experts say."
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:00:00+00:00,
2008-11-05 05:25:08+00:00,"House Democrats expanded their numbers on Tuesday, giving Speaker Nancy Pelosi more maneuvering room as she seeks to forge ahead with the Democratic agenda."
2008-11-05 08:10:13+00:00,Hopes for a post-election Wall Street bounce were dashed as investors took profits and dealt with another round of bleak economic news.
2008-11-05 11:30:53+00:00,
2008-11-05 11:32:33+00:00,
2008-11-05 11:44:07+00:00,
2008-11-05 12:01:35+00:00,"In a wide-ranging attack, Dmitri Medvedev talked of the need to counter a perceived U.S. threat."
2008-11-05 12:02:00+00:00,
2008-11-05 12:20:55+00:00,
2008-11-05 13:06:41+00:00,
2008-11-05 13:14:39+00:00,
2008-11-05 14:10:52+00:00,"An economist asks, why don’t the experts have an advantage in stock picking? Or, do they? Are markets so efficient that they incorporate all relevant information instantly and leave us nothing to trade on? Or, can some investors “beat the market” ..."
2008-11-05 14:40:47+00:00,The Broadway musical adaptation of “A Tale of Two Cities” will close on Nov. 16.
2008-11-05 16:36:02+00:00,
2008-11-05 16:59:04+00:00,"If you’re in search of glasses, go a little north of Panjiayuan on the East Third Ring Road, to a place called Glasses City."
2008-11-05 20:08:06+00:00,"Richard Li, the Hong Kong tycoon, is moving ahead with efforts to buy out minority shareholders in the company PCCW."
2008-11-05 22:57:45+00:00,"Broadway’s “Tale of Two Cities” will close on Nov. 16, its producers announced, just under two months after it opened at the Al Hirschfeld Theater."
2008-11-05 23:09:29+00:00,"Green Equity Investors V has bought 17 percent of the grocery chain for $425 million, sending shares up nearly 22 percent."
2008-11-06 00:29:08+00:00,
2008-11-06 01:55:19+00:00,Hunters in Mexico have started adapting their operations as the government has taken on violent drug gangs near bountiful bird grounds.
2008-11-06 02:31:39+00:00,"A look at some of the crucial issues that will test the new administration, and how it might address them."
2008-11-06 03:01:32+00:00,President-elect Barack Obama prepared to name an ally as his White House chief of staff in his first step toward assuming power.
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 05:00:00+00:00,
2008-11-06 06:09:22+00:00,Stocks slumped amid a poor outlook for the retail and automobile industries and worries about the state of the labor market.
2008-11-06 08:45:31+00:00,"Toyota Motor slashed its annual profit forecast by more than half, warning of a long downturn in global auto markets."
2008-11-06 12:03:24+00:00,
2008-11-06 12:21:00+00:00,"The European Central Bank reduced its benchmark rate by a half percentage point, while the Bank of England cut rates by a startling 1.5 percentage points."
2008-11-06 12:22:26+00:00,
2008-11-06 12:26:15+00:00,
2008-11-06 12:44:17+00:00,"Most of the nation’s retailers reported double-digit declines in October sales, underscoring how the financial turmoil has touched all consumers."
2008-11-06 12:55:45+00:00,"A look at some of the crucial issues that will test the new administration, and how it might address them."
2008-11-06 12:55:45+00:00,
2008-11-06 13:41:22+00:00,
2008-11-06 16:33:32+00:00,"Andrew Meier, Time’s former Russia correspondent and author of last weekend’s Play article on sports in that country, on the continued robustness of the Continental Hockey League."
2008-11-06 17:17:36+00:00,"With Representative Rahm Emanuel of Illinois, President-elect Obama has chosen a consummate navigator of the capital’s political terrain."
2008-11-06 17:36:30+00:00,
2008-11-06 18:14:34+00:00,"On the edge of Baghdad, soldiers who have served long deployments and those who have just arrived, lingered in the dining room long after their breakfast eggs were cold to watch the election returns flash on mounted television screens in the early..."
2008-11-06 18:35:12+00:00,
2008-11-06 18:37:42+00:00,"In the past few weeks, the next generation of M&#038;A failures has begun to take shape. The first wave of failures consisted of the stream of private equity and strategic deals negotiated before August 2007. This next wave of failure comprises th..."
2008-11-06 18:37:42+00:00,
2008-11-06 21:34:07+00:00,The results were a sharp reversal from last year as the private equity firm’s investments were buffeted by the market turmoil that swept the world.
2008-11-06 22:45:17+00:00,
2008-11-06 23:06:33+00:00,"Tens of thousands of household savers — many of them first-time investors — are pouring into the market, seizing the world financial crisis as the greatest buying opportunity in a generation."
